"iptProductId","ticketsProductId","usage","scorePercent","status","humanDecision","ignoredFields","note"
"884","1049","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: občanské 72hod P,0,B – 72 hod, Praha P,0,B"
"885","1053","BOTH","89","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: občanské 24hod PID – 24 hod, všechna pásma PID"
"886","1054","BOTH","89","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba. Správná pásma jsou P,0,B,1,2,3,4; Tickets snapshot nyní postrádá P a B. Opravit produkt 1054 v Tickets před použitím seedu."
"887","1058","BOTH","84","PROPOSED_AUTOMATIC","REJECTED","","Zamítnuto člověkem: podezřelý cenový rozdíl. Candidate: občanské 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"888","1058","BOTH","93","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: občanské 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"889","1074","BOTH","64","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba. Maximální platnost je 180 min; v Tickets změnit duration produktu 1074 z 1440 na 180 minut před použitím seedu."
"890","1061","BOTH","36","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba. V Tickets narovnat zjištěné rozdíly produktu 1061: productSubTypeCode adult na group a duration 1680 na tarifní hodnotu 240 pro FROM_NEXT_MIDNIGHT."
"891","1062","BOTH","36","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba. V Tickets narovnat zjištěné rozdíly produktu 1062: productSubTypeCode adult na group a duration 1680 na tarifní hodnotu 240 pro FROM_NEXT_MIDNIGHT."
"892","1033","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 15 min, 2 pásem"
"893","1060","BOTH","84","PROPOSED_AUTOMATIC","REJECTED","","Zamítnuto člověkem: podezřelý cenový rozdíl. Candidate: zvláštní 1/4 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"894","1060","BOTH","93","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvláštní 1/4 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"895","1017","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 15 min, 2 pásem"
"896","1059","BOTH","84","PROPOSED_AUTOMATIC","REJECTED","","Zamítnuto člověkem: podezřelý cenový rozdíl. Candidate: zvýhodnéná 1/2 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"897","1059","BOTH","93","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodnéná 1/2 24hod vnější pásma (1-13) – 24 hod, jen vnější pásma PID"
"898","1018","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněné senior – 30 min, Praha P,0,B"
"899","1019","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněné senior – 90 min, Praha P,0,B"
"900","1072","BOTH","91","PROPOSED_AUTOMATIC","REJECTED","","Zamítnuto člověkem: podezřelý cenový rozdíl. Candidate: bezplatná přeprava senior 65+ – volitelná platnost, P,0,B"
"901","","NONE","","EXCLUDED_FROM_UC","EXCLUDED","","Capping produkt pro seniora. Nebude nabízen ve vyhledávání, je mimo rozsah #1007/#1008 a nevstupuje do seedu."
"902","1034","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 30 min, 3 pásem"
"903","1035","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 60 min, 4 pásem"
"904","1036","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 90 min, 5 pásem"
"905","1037","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 120 min, 6 pásem"
"906","1038","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 150 min, 7 pásem"
"907","1039","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 8 pásem"
"908","1040","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 9 pásem"
"909","1041","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 10 pásem"
"910","1042","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 11 pásem"
"911","1043","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 12 pásem"
"912","1044","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: ZTP – 180 min, 13 pásem"
"913","1020","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 30 min, 3 pásem"
"914","1021","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 60 min, 4 pásem"
"915","1022","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 90 min, 5 pásem"
"916","1023","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 120 min, 6 pásem"
"917","1024","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 150 min, 7 pásem"
"918","1025","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 8 pásem"
"919","1026","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 9 pásem"
"920","1027","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 10 pásem"
"921","1028","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 11 pásem"
"922","1029","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 12 pásem"
"923","1030","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 13 pásem"
"924","1031","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněná 1/2 – 180 min, 14 pásem"
"925","1032","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: zvýhodněné 1/2 – 180 min, 15 pásem"
"926","1002","BOTH","89","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba. Jde o jeden flexibilní třípásmový produkt: varianta pro Prahu nebo tři navazující vnější pásma. Stávající model Tickets to umí jedním produktem; u 1002 nastavit povolená pásma P,0,B,1–13 a ZoneCount=3. Dva produkty nejsou pro současný model nutné."
"927","1074","BOTH","58","APPROVED_PENDING_TICKETS_FIX","APPROVED","","Ručně schválená vazba na stejný společný produkt jako zavazadlo. Platnost je dynamická, maximálně 180 min; v Tickets změnit duration produktu 1074 z 1440 na 180 minut před použitím seedu."
